Preço das ações:,,,Valor dos dividendos:,,
,,,,,
,,,,,
Data,Abertura,,Pagamento por papel,Data,Tipo
01/01/17,"7,60",,"0,10",23/09/22,JCP
01/02/17,"8,35",,"0,13",20/05/22,JCP
01/03/17,"8,03",,"0,09",22/10/21,JCP
01/04/17,"8,80",,"0,09",20/05/21,DIV
01/05/17,"8,73",,"0,10",20/05/21,JCP
01/06/17,"9,62",,"0,07",22/10/20,JCP
01/07/17,"9,59",,"0,13",20/05/20,DIV
01/08/17,"9,54",,"0,23",20/05/20,JCP
01/09/17,"9,91",,"0,19",10/10/19,JCP
01/10/17,"9,93",,"0,08",09/05/19,JCP
01/11/17,"10,41",,"0,11",03/10/18,DIV
01/12/17,"9,65",,"0,09",03/10/18,JCP
01/01/18,"9,67",,"0,03",09/05/18,DIV
01/02/18,"10,40",,"0,11",09/05/18,JCP
01/03/18,"9,77",,"0,20",06/10/17,JCP
01/04/18,"9,23",,"0,05",10/05/17,DIV
01/05/18,"10,23",,"0,05",10/05/17,DIV
01/06/18,"9,23",,,,
01/07/18,"8,71",,,,
01/08/18,"9,28",,,,
01/09/18,"8,56",,,,
01/10/18,"8,14",,,,
01/11/18,"8,22",,,,
01/12/18,"9,34",,,,
01/01/19,"8,77",,,,
01/02/19,"10,84",,,,
01/03/19,"11,84",,,,
01/04/19,"12,87",,,,
01/05/19,"14,47",,,,
01/06/19,"12,80",,,,
01/07/19,"14,24",,,,
01/08/19,"15,66",,,,
01/09/19,"17,64",,,,
01/10/19,"18,69",,,,
01/11/19,"20,31",,,,
01/12/19,"20,90",,,,
01/01/20,"21,28",,,,
01/02/20,"24,34",,,,
01/03/20,"23,15",,,,
01/04/20,"14,64",,,,
01/05/20,"19,34",,,,
01/06/20,"19,70",,,,
01/07/20,"22,56",,,,
01/08/20,"25,02",,,,
01/09/20,"28,67",,,,
01/10/20,"26,55",,,,
01/11/20,"26,92",,,,
01/12/20,"26,62",,,,
01/01/21,"28,52",,,,
01/02/21,"28,58",,,,
01/03/21,"31,31",,,,
01/04/21,"28,57",,,,
01/05/21,"30,65",,,,
01/06/21,"34,43",,,,
01/07/21,"37,06",,,,
01/08/21,"35,17",,,,
01/09/21,"39,64",,,,
01/10/21,"35,68",,,,
01/11/21,"32,89",,,,
01/12/21,"31,71",,,,
01/01/22,"28,54",,,,
01/02/22,"28,90",,,,
01/03/22,"33,13",,,,
01/04/22,"36,74",,,,
01/05/22,"31,15",,,,
01/06/22,"28,53",,,,
01/07/22,"22,97",,,,
01/08/22,"26,21",,,,
01/09/22,"28,55",,,,
01/10/22,"30,30",,,,
01/11/22,"33,26",,,,
01/12/22,"30,24",,,,
01/01/23,"26,72",,,,
