Preço das ações:,,,Valor dos dividendos:,,,,,Taxa de câmbio:,
,,,,,,,,,
,,,,,,,,,
Data,Abertura,,Pagamento por papel,Data,Rendimento,Tipo,,Data,Cotação
01/01/17,"159,51",,"1,4",10/03/17,"4,71%",DIV,,01/01/17,"3,20"
01/02/17,"167,15",,"1,5",10/06/17,"4,98%",DIV,,01/02/17,"3,10"
01/03/17,"172,39",,"1,5",09/09/17,"4,79%",DIV,,01/03/17,"3,13"
01/04/17,"166,03",,"1,5",09/12/17,"4,76%",DIV,,01/04/17,"3,14"
01/05/17,"152,87",,"1,5",10/03/18,"5,27%",DIV,,01/05/17,"3,21"
01/06/17,"145,95",,"1,57",09/06/18,"4,55%",DIV,,01/06/17,"3,29"
01/07/17,"146,69",,"1,57",10/09/18,"4,42%",DIV,,01/07/17,"3,21"
01/08/17,"138,50",,"1,57",10/12/18,"5,27%",DIV,,01/08/17,"3,15"
01/09/17,"136,57",,"1,57",09/03/19,"5,72%",DIV,,01/09/17,"3,13"
01/10/17,"138,83",,"1,62",10/06/19,"5,17%",DIV,,01/10/17,"3,19"
01/11/17,"147,19",,"1,62",10/09/19,"5,29%",DIV,,01/11/17,"3,26"
01/12/17,"147,48",,"1,62",10/12/19,"4,13%",DIV,,01/12/17,"3,29"
01/01/18,"147,57",,"1,62",10/03/20,"4,67%",DIV,,01/01/18,"3,21"
01/02/18,"155,87",,"1,63",10/06/20,"4,66%",DIV,,01/02/18,"3,24"
01/03/18,"148,56",,"1,63",10/09/20,"4,70%",DIV,,01/03/18,"3,28"
01/04/18,"146,46",,"1,63",10/12/20,"4,61%",DIV,,01/04/18,"3,41"
01/05/18,"138,16",,"1,63",10/03/21,"5,03%",DIV,,01/05/18,"3,64"
01/06/18,"136,04",,"1,64",10/06/21,"4,28%",DIV,,01/06/18,"3,77"
01/07/18,"132,08",,"1,64",10/09/21,"4,39%",DIV,,01/07/18,"3,83"
01/08/18,"138,27",,"1,64",10/12/21,"3,90%",DIV,,01/08/18,"3,93"
01/09/18,"139,43",,"1,64",10/03/22,"3,96%",DIV,,01/09/18,"4,12"
01/10/18,"144,91",,"1,65",10/06/22,"4,18%",DIV,,01/10/18,"3,76"
01/11/18,"110,32",,"1,65",10/09/22,"3,87%",DIV,,01/11/18,"3,79"
01/12/18,"120,04",,"1,65",10/12/22,"3,14%",DIV,,01/12/18,"3,88"
01/01/19,"106,99",,,,,,,01/01/19,"3,74"
01/02/19,"128,92",,,,,,,01/02/19,"3,72"
01/03/19,"133,06",,,,,,,01/03/19,"3,85"
01/04/19,"135,17",,,,,,,01/04/19,"3,90"
01/05/19,"134,25",,,,,,,01/05/19,"4,00"
01/06/19,"121,40",,,,,,,01/06/19,"3,86"
01/07/19,"133,34",,,,,,,01/07/19,"3,78"
01/08/19,"142,22",,,,,,,01/08/19,"4,02"
01/09/19,"128,80",,,,,,,01/09/19,"4,12"
01/10/19,"139,06",,,,,,,01/10/19,"4,09"
01/11/19,"128,47",,,,,,,01/11/19,"4,15"
01/12/19,"128,42",,,,,,,01/12/19,"4,11"
01/01/20,"128,95",,,,,,,01/01/20,"4,15"
01/02/20,"137,78",,,,,,,01/02/20,"4,34"
01/03/20,"124,89",,,,,,,01/03/20,"4,88"
01/04/20,"101,59",,,,,,,01/04/20,"5,33"
01/05/20,"117,67",,,,,,,01/05/20,"5,64"
01/06/20,"119,05",,,,,,,01/06/20,"5,20"
01/07/20,"114,88",,,,,,,01/07/20,"5,28"
01/08/20,"117,96",,,,,,,01/08/20,"5,46"
01/09/20,"117,34",,,,,,,01/09/20,"5,40"
01/10/20,"116,87",,,,,,,01/10/20,"5,63"
01/11/20,"107,60",,,,,,,01/11/20,"5,42"
01/12/20,"118,34",,,,,,,01/12/20,"5,14"
01/01/21,"120,21",,,,,,,01/01/21,"5,36"
01/02/21,"114,52",,,,,,,01/02/21,"5,42"
01/03/21,"114,95",,,,,,,01/03/21,"5,65"
01/04/21,"127,76",,,,,,,01/04/21,"5,56"
01/05/21,"137,36",,,,,,,01/05/21,"5,29"
01/06/21,"138,50",,,,,,,01/06/21,"5,03"
01/07/21,"140,37",,,,,,,01/07/21,"5,16"
01/08/21,"135,11",,,,,,,01/08/21,"5,25"
01/09/21,"133,70",,,,,,,01/09/21,"5,28"
01/10/21,"134,68",,,,,,,01/10/21,"5,54"
01/11/21,"119,44",,,,,,,01/11/21,"5,56"
01/12/21,"118,25",,,,,,,01/12/21,"5,65"
01/01/22,"134,07",,,,,,,01/01/22,"5,53"
01/02/22,"133,76",,,,,,,01/02/22,"5,20"
01/03/22,"122,67",,,,,,,01/03/22,"4,97"
01/04/22,"129,66",,,,,,,01/04/22,"4,76"
01/05/22,"133,00",,,,,,,01/05/22,"4,95"
01/06/22,"139,67",,,,,,,01/06/22,"5,05"
01/07/22,"141,00",,,,,,,01/07/22,"5,37"
01/08/22,"130,75",,,,,,,01/08/22,"5,14"
01/09/22,"128,40",,,,,,,01/09/22,"5,24"
01/10/22,"120,16",,,,,,,01/10/22,"5,25"
01/11/22,"138,25",,,,,,,01/11/22,"5,27"
01/12/22,"149,98",,,,,,,01/12/22,"5,24"
01/01/23,"141,10",,,,,,,01/01/23,"5,34"
