Preço das ações:,,,,Taxa de câmbio:,
,,,,,
,,,,,
Data,Abertura,,,Data,Cotação
01/02/93,"9,31",,,01/01/93,"0,01"
01/03/93,"10,94",,,01/02/93,"0,01"
01/04/93,"11,50",,,01/03/93,"0,01"
01/05/93,"14,25",,,01/04/93,"0,01"
01/06/93,"14,25",,,01/05/93,"0,01"
01/07/93,"12,06",,,01/06/93,"0,02"
01/08/93,"12,12",,,01/07/93,"0,02"
01/09/93,"16,00",,,01/08/93,"0,03"
01/10/93,"13,31",,,01/09/93,"0,04"
01/11/93,"10,00",,,01/10/93,"0,05"
01/12/93,"9,56",,,01/11/93,"0,07"
01/01/94,"8,88",,,01/12/93,"0,12"
01/02/94,"10,19",,,01/01/94,"0,12"
01/03/94,"10,75",,,01/02/94,"0,20"
01/04/94,"15,31",,,01/03/94,"0,23"
01/05/94,"13,19",,,01/04/94,"0,37"
01/06/94,"13,69",,,01/05/94,"0,52"
01/07/94,"12,38",,,01/06/94,"0,76"
01/08/94,"13,44",,,01/07/94,"0,94"
01/09/94,"13,75",,,01/08/94,"0,94"
01/10/94,"15,12",,,01/09/94,"0,89"
01/11/94,"13,12",,,01/10/94,"0,85"
01/12/94,"12,56",,,01/11/94,"0,84"
01/01/95,"12,62",,,01/12/94,"0,85"
01/02/95,"14,94",,,01/01/95,"0,84"
01/03/95,"15,19",,,01/02/95,"0,84"
01/04/95,"16,88",,,01/03/95,"0,85"
01/05/95,"17,88",,,01/04/95,"0,90"
01/06/95,"16,31",,,01/05/95,"0,92"
01/07/95,"18,19",,,01/06/95,"0,91"
01/08/95,"16,31",,,01/07/95,"0,92"
01/09/95,"16,88",,,01/08/95,"0,93"
01/10/95,"14,44",,,01/09/95,"0,95"
01/11/95,"11,62",,,01/10/95,"0,95"
01/12/95,"10,25",,,01/11/95,"0,96"
01/01/96,"8,25",,,01/12/95,"0,97"
01/02/96,"9,69",,,01/01/96,"0,97"
01/03/96,"9,69",,,01/02/96,"0,98"
01/04/96,"8,75",,,01/03/96,"0,98"
01/05/96,"9,31",,,01/04/96,"0,99"
01/06/96,"8,75",,,01/05/96,"0,99"
01/07/96,"6,88",,,01/06/96,"1,00"
01/08/96,"6,00",,,01/07/96,"1,00"
01/09/96,"6,38",,,01/08/96,"1,01"
01/10/96,"7,31",,,01/09/96,"1,02"
01/11/96,"8,88",,,01/10/96,"1,02"
01/12/96,"12,06",,,01/11/96,"1,03"
01/01/97,"12,94",,,01/12/96,"1,03"
01/02/97,"17,56",,,01/01/97,"1,04"
01/03/97,"17,75",,,01/02/97,"1,05"
01/04/97,"20,62",,,01/03/97,"1,05"
01/05/97,"21,31",,,01/04/97,"1,06"
01/06/97,"20,81",,,01/05/97,"1,06"
01/07/97,"17,75",,,01/06/97,"1,07"
01/08/97,"17,62",,,01/07/97,"1,08"
01/09/97,"18,91",,,01/08/97,"1,08"
01/10/97,"14,75",,,01/09/97,"1,09"
01/11/97,"11,91",,,01/10/97,"1,10"
01/12/97,"11,00",,,01/11/97,"1,10"
01/01/98,"9,12",,,01/12/97,"1,11"
01/02/98,"10,16",,,01/01/98,"1,12"
01/03/98,"11,75",,,01/02/98,"1,12"
