Preço das ações:,,,Valor dos dividendos:,,,,,Taxa de câmbio:,
,,,,,,,,,
,,,,,,,,,
Data,Abertura,,Pagamento por papel,Data,Tipo,,,Data,Cotação
01/01/17,"36,61",,$0.2725,01/06/17,DIV,,,01/01/17,"3,20"
01/02/17,"36,82",,$0.2725,01/09/17,DIV,,,01/02/17,"3,10"
01/03/17,"35,85",,$0.2725,01/12/17,DIV,,,01/03/17,"3,13"
01/04/17,"36,19",,$0.30,01/03/18,DIV,,,01/04/17,"3,14"
01/05/17,"36,11",,$0.30,01/06/18,DIV,,,01/05/17,"3,21"
01/06/17,"36,12",,$0.30,01/09/18,DIV,,,01/06/17,"3,29"
01/07/17,"33,51",,$0.30,01/12/18,DIV,,,01/07/17,"3,21"
01/08/17,"35,66",,$0.315,01/03/19,DIV,,,01/08/17,"3,15"
01/09/17,"35,24",,$0.315,01/06/19,DIV,,,01/09/17,"3,13"
01/10/17,"38,12",,$0.315,01/09/19,DIV,,,01/10/17,"3,19"
01/11/17,"45,97",,$0.315,01/12/19,DIV,,,01/11/17,"3,26"
01/12/17,"44,73",,$0.33,01/03/20,DIV,,,01/12/17,"3,29"
01/01/18,"46,38",,$0.33,01/06/20,DIV,,,01/01/18,"3,21"
01/02/18,"47,69",,$0.33,01/09/20,DIV,,,01/02/18,"3,24"
01/03/18,"49,50",,$0.33,01/12/20,DIV,,,01/03/18,"3,28"
01/04/18,"51,69",,$0.3475,01/03/21,DIV,,,01/04/18,"3,41"
01/05/18,"51,64",,$0.3475,01/06/21,DIV,,,01/05/18,"3,64"
01/06/18,"55,84",,$0.3475,01/09/21,DIV,,,01/06/18,"3,77"
01/07/18,"49,04",,$0.3475,01/12/21,DIV,,,01/07/18,"3,83"
01/08/18,"48,06",,$0.365,01/03/22,DIV,,,01/08/18,"3,93"
01/09/18,"48,38",,$0.365,01/06/22,DIV,,,01/09/18,"4,12"
01/10/18,"46,79",,$0.365,01/09/22,DIV,,,01/10/18,"3,76"
01/11/18,"46,95",,$0.365,01/12/22,DIV,,,01/11/18,"3,79"
01/12/18,"50,00",,,,,,,01/12/18,"3,88"
01/01/19,"45,96",,,,,,,01/01/19,"3,74"
01/02/19,"47,06",,,,,,,01/02/19,"3,72"
01/03/19,"53,44",,,,,,,01/03/19,"3,85"
01/04/19,"54,34",,,,,,,01/04/19,"3,90"
01/05/19,"51,10",,,,,,,01/05/19,"4,00"
01/06/19,"44,25",,,,,,,01/06/19,"3,86"
01/07/19,"49,29",,,,,,,01/07/19,"3,78"
01/08/19,"50,52",,,,,,,01/08/19,"4,02"
01/09/19,"47,12",,,,,,,01/09/19,"4,12"
01/10/19,"51,97",,,,,,,01/10/19,"4,09"
01/11/19,"55,94",,,,,,,01/11/19,"4,15"
01/12/19,"58,55",,,,,,,01/12/19,"4,11"
01/01/20,"60,24",,,,,,,01/01/20,"4,15"
01/02/20,"64,46",,,,,,,01/02/20,"4,34"
01/03/20,"55,79",,,,,,,01/03/20,"4,88"
01/04/20,"52,50",,,,,,,01/04/20,"5,33"
01/05/20,"58,83",,,,,,,01/05/20,"5,64"
01/06/20,"62,49",,,,,,,01/06/20,"5,20"
01/07/20,"59,91",,,,,,,01/07/20,"5,28"
01/08/20,"48,27",,,,,,,01/08/20,"5,46"
01/09/20,"50,91",,,,,,,01/09/20,"5,40"
01/10/20,"52,40",,,,,,,01/10/20,"5,63"
01/11/20,"44,96",,,,,,,01/11/20,"5,42"
01/12/20,"48,75",,,,,,,01/12/20,"5,14"
01/01/21,"49,89",,,,,,,01/01/21,"5,36"
01/02/21,"55,95",,,,,,,01/02/21,"5,42"
01/03/21,"61,72",,,,,,,01/03/21,"5,65"
01/04/21,"64,72",,,,,,,01/04/21,"5,56"
01/05/21,"57,85",,,,,,,01/05/21,"5,29"
01/06/21,"57,61",,,,,,,01/06/21,"5,03"
01/07/21,"56,13",,,,,,,01/07/21,"5,16"
01/08/21,"53,99",,,,,,,01/08/21,"5,25"
01/09/21,"54,11",,,,,,,01/09/21,"5,28"
01/10/21,"53,65",,,,,,,01/10/21,"5,54"
01/11/21,"49,40",,,,,,,01/11/21,"5,56"
01/12/21,"49,84",,,,,,,01/12/21,"5,65"
01/01/22,"51,65",,,,,,,01/01/22,"5,53"
01/02/22,"48,78",,,,,,,01/02/22,"5,20"
01/03/22,"47,54",,,,,,,01/03/22,"4,97"
01/04/22,"49,83",,,,,,,01/04/22,"4,76"
01/05/22,"43,72",,,,,,,01/05/22,"4,95"
01/06/22,"44,77",,,,,,,01/06/22,"5,05"
01/07/22,"37,09",,,,,,,01/07/22,"5,37"
01/08/22,"36,05",,,,,,,01/08/22,"5,14"
01/09/22,"31,57",,,,,,,01/09/22,"5,24"
01/10/22,"26,33",,,,,,,01/10/22,"5,25"
01/11/22,"28,80",,,,,,,01/11/22,"5,27"
01/12/22,"30,24",,,,,,,01/12/22,"5,24"
01/01/23,"27,05",,,,,,,01/01/23,"5,34"
