Preço das ações:,,,Valor dos dividendos:,,,,,Taxa de câmbio:,
,,,,,,,,,
,,,,,,,,,
Data,Abertura,,Pagamento por papel,Data,Tipo,,,Data,Cotação
01/01/17,"96,80",,"1,25",15/05/17,DIV,,,01/01/17,"3,40"
01/02/17,"106,28",,"1,40",22/05/18,DIV,,,01/02/17,"3,30"
01/03/17,"97,90",,"1,50",20/05/19,DIV,,,01/03/17,"3,35"
01/04/17,"82,17",,"1,58",26/05/20,DIV,,,01/04/17,"3,36"
01/05/17,"84,31",,"1,85",18/05/21,DIV,,,01/05/17,"3,55"
01/06/17,"90,73",,"2,45",23/05/22,DIV,,,01/06/17,"3,69"
01/07/17,"85,74",,,,,,,01/07/17,"3,70"
01/08/17,"94,18",,,,,,,01/08/17,"3,72"
01/09/17,"95,58",,,,,,,01/09/17,"3,73"
01/10/17,"100,55",,,,,,,01/10/17,"3,75"
01/11/17,"100,23",,,,,,,01/11/17,"3,83"
01/12/17,"111,17",,,,,,,01/12/17,"3,90"
01/01/18,"122,69",,,,,,,01/01/18,"3,92"
01/02/18,"113,50",,,,,,,01/02/18,"4,00"
01/03/18,"125,25",,,,,,,01/03/18,"4,04"
01/04/18,"114,87",,,,,,,01/04/18,"4,19"
01/05/18,"127,50",,,,,,,01/05/18,"4,30"
01/06/18,"121,33",,,,,,,01/06/18,"4,40"
01/07/18,"118,43",,,,,,,01/07/18,"4,48"
01/08/18,"113,78",,,,,,,01/08/18,"4,53"
01/09/18,"116,16",,,,,,,01/09/18,"4,80"
01/10/18,"104,39",,,,,,,01/10/18,"4,32"
01/11/18,"102,76",,,,,,,01/11/18,"4,31"
01/12/18,"105,42",,,,,,,01/12/18,"4,41"
01/01/19,"107,51",,,,,,,01/01/19,"4,27"
01/02/19,"101,84",,,,,,,01/02/19,"4,22"
01/03/19,"91,70",,,,,,,01/03/19,"4,35"
01/04/19,"133,71",,,,,,,01/04/19,"4,38"
01/05/19,"138,88",,,,,,,01/05/19,"4,48"
01/06/19,"133,81",,,,,,,01/06/19,"4,36"
01/07/19,"122,31",,,,,,,01/07/19,"4,24"
01/08/19,"116,26",,,,,,,01/08/19,"4,48"
01/09/19,"105,62",,,,,,,01/09/19,"4,54"
01/10/19,"98,96",,,,,,,01/10/19,"4,53"
01/11/19,"112,38",,,,,,,01/11/19,"4,59"
01/12/19,"118,27",,,,,,,01/12/19,"4,57"
01/01/20,"119,07",,,,,,,01/01/20,"4,61"
01/02/20,"122,73",,,,,,,01/02/20,"4,74"
01/03/20,"118,25",,,,,,,01/03/20,"5,39"
01/04/20,"107,79",,,,,,,01/04/20,"5,79"
01/05/20,"107,47",,,,,,,01/05/20,"6,17"
01/06/20,"110,02",,,,,,,01/06/20,"5,85"
01/07/20,"121,91",,,,,,,01/07/20,"6,05"
01/08/20,"109,00",,,,,,,01/08/20,"6,46"
01/09/20,"112,98",,,,,,,01/09/20,"6,37"
01/10/20,"102,44",,,,,,,01/10/20,"6,63"
01/11/20,"93,85",,,,,,,01/11/20,"6,42"
01/12/20,"90,11",,,,,,,01/12/20,"6,26"
01/01/21,"86,53",,,,,,,01/01/21,"6,52"
01/02/21,"92,16",,,,,,,01/02/21,"6,55"
01/03/21,"93,87",,,,,,,01/03/21,"6,72"
01/04/21,"105,44",,,,,,,01/04/21,"6,65"
01/05/21,"102,46",,,,,,,01/05/21,"6,43"
01/06/21,"99,21",,,,,,,01/06/21,"6,06"
01/07/21,"97,47",,,,,,,01/07/21,"6,10"
01/08/21,"96,54",,,,,,,01/08/21,"6,18"
01/09/21,"92,89",,,,,,,01/09/21,"6,22"
01/10/21,"83,50",,,,,,,01/10/21,"6,42"
01/11/21,"84,82",,,,,,,01/11/21,"6,34"
01/12/21,"91,00",,,,,,,01/12/21,"6,39"
01/01/22,"92,84",,,,,,,01/01/22,"6,26"
01/02/22,"94,57",,,,,,,01/02/22,"5,90"
01/03/22,"98,33",,,,,,,01/03/22,"5,47"
01/04/22,"92,49",,,,,,,01/04/22,"5,14"
01/05/22,"87,88",,,,,,,01/05/22,"5,23"
01/06/22,"89,67",,,,,,,01/06/22,"5,34"
01/07/22,"91,28",,,,,,,01/07/22,"5,47"
01/08/22,"95,07",,,,,,,01/08/22,"5,20"
01/09/22,"91,93",,,,,,,01/09/22,"5,19"
01/10/22,"91,99",,,,,,,01/10/22,"5,16"
01/11/22,"88,14",,,,,,,01/11/22,"5,39"
01/12/22,"84,54",,,,,,,01/12/22,"5,55"
01/01/23,"81,54",,,,,,,01/01/23,"5,60"
