Preço das ações:,,,Valor dos dividendos:
,,,
,,,
Data,Abertura,,Pagamento por papel
01/01/11,"11,56",,
01/02/11,"11,17",,
01/03/11,"10,73",,
01/04/11,"11,43",,
01/05/11,"12,04",,"0,83"
01/06/11,"12,59",,
01/07/11,"12,52",,
01/08/11,"11,24",,
01/09/11,"11,43",,
01/10/11,"8,87",,
01/11/11,"9,07",,
01/12/11,"8,47",,
01/01/12,"8,19",,
01/02/12,"8,19",,
01/03/12,"8,95",,
01/04/12,"8,87",,"0,60"
01/05/12,"8,77",,
01/06/12,"7,13",,
01/07/12,"7,88",,
01/08/12,"6,42",,
01/09/12,"6,77",,
01/10/12,"7,50",,
01/11/12,"7,08",,
01/12/12,"7,18",,
01/01/13,"6,09",,
01/02/13,"7,02",,
01/03/13,"6,99",,
01/04/13,"6,72",,
01/05/13,"8,12",,
01/06/13,"8,06",,
01/07/13,"7,66",,
01/08/13,"6,82",,
01/09/13,"7,75",,
01/10/13,"7,64",,
01/11/13,"9,13",,
01/12/13,"9,29",,
01/01/14,"9,79",,
01/02/14,"8,56",,
01/03/14,"7,70",,
01/04/14,"8,32",,"0,60"
01/05/14,"7,81",,
01/06/14,"7,40",,
01/07/14,"7,11",,
01/08/14,"6,90",,
01/09/14,"7,26",,
01/10/14,"7,43",,
01/11/14,"8,48",,
01/12/14,"8,61",,
01/01/15,"6,82",,
01/02/15,"5,70",,
01/03/15,"5,90",,
01/04/15,"5,22",,"0,60"
01/05/15,"6,60",,
01/06/15,"6,92",,
01/07/15,"6,75",,
01/08/15,"6,51",,
01/09/15,"6,60",,
01/10/15,"8,17",,
01/11/15,"9,93",,
01/12/15,"11,30",,
01/01/16,"10,74",,
01/02/16,"10,97",,
01/03/16,"11,18",,
01/04/16,"14,17",,"1,25"
01/05/16,"15,34",,
01/06/16,"13,30",,
01/07/16,"11,69",,
01/08/16,"10,26",,
01/09/16,"15,69",,
01/10/16,"16,95",,
01/11/16,"18,76",,
01/12/16,"19,20",,
01/12/16,"19,20",,
